Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
3,12776,Powerline Pond,,,OSMP,,Eldorado Springs,Boulder,CO,OSMP,,,39.93103,-105.25716,1764,Pond,Permanent,Natural
3,127848,Middle Wise Man,,,Private,,,Broomfield,CO,Private,,,39.935568,-105.141805,1648,Pond,Permanent,Artificial
3,12820,Pipeline Pond,,,OSMP,,Boulder,Boulder,CO,OSMP,,,39.914764,-105.262357,1857,Pond,Permanent,Artificial
3,12914,Lindsay Pond,,,,,Boulder,,CO,Amy Thorinton,,,39.901603,-105.215156,1825,Pond,Permanent,Artificial
3,12939,Factory Pond,,,Jefferson County Open Space,,Boulder,Jefferson,CO,Jefferson County Open Space,,,39.89853,-105.26098,1908,Pond,Permanent,Artificial
3,12958,Pleasantville,,,Jefferson County Open Space,,Boulder,Jefferson,CO,Jefferson County Open Space,,,39.88641,-105.26447,1958,Pond,Permanent,Artificial
3,12968,Dos Doggs,,,,,,,CO,,,,39.883958,-105.445527,2693,Pond,Permanent,Artificial
3,12981,Buttercup Pond,,,,,,,CO,,,,39.87882,-105.513283,2816,Pond,Permanent,Natural
3,12983,Rumple Pond,,,,,,Gilpin,CO,,,,39.878843,-105.511874,2805,Pond,Permanent,
3,13486,Christmas Pond,,,,,,,CO,,,,40.417233,-105.678852,2810,Pond,Temporary,Natural
3,13493,Impending Doom Pond,,,,,,,CO,,,,40.416106,-105.676542,2806,Pond,Temporary,Natural
3,1553,Circulation Pond,,,Private,,Lakewood,Arapahoe,CO,Private,,,39.60538,-105.04593,1658,Pond,Permanent,Artificial
3,16264,Rusty Cage Pond,,16264,,,,,CO,,,,40.626788,-104.969767,1569,Pond,Permanent,Artificial
3,16504,Dead Crayfish,,,,,Ft. Collins,Larimer,CO,,,,40.571873,-105.108722,1550,Pond,Permanent,Artificial
3,16559,Pee Pond,,,,,,,CO,,,,40.56217,-105.072152,1530,Pond,Permanent,Natural
3,16626,Crocodile Pond,,,,,Ft. Collins,Larimer,CO,,,,40.549635,-105.117884,1562,Pond,Permanent,Natural
3,16673,The Finale,,,,,,,CO,,,,40.537249,-105.054878,1532,Pond,Permanent,Artificial
,205767,Rooster 1,,,,,Meeker,Rio Blanco,CO,,,,40.06417,-107.81142,2059,Pond,Permanent,Artificial
,206150,Aqua Verde,,,,,,,CO,,,,40.03896,-107.58428,,Pool,Permanent,Natural
,206237,Ring of Shit,,,,,Meeker,Rio Blanco,CO,,,,40.01081,-107.85215,1980,Pond,Permanent,Artificial
,206522,Dead Sheep,,,,,Meeker,Rio Blanco,CO,,,,40.00033,-107.84176,1996,Pond,Permanent,Artificial
,207750,Aspen Lodge Pond,,,,,White River National Forest,Rio Blanco,CO,,,,39.92495,-107.62425,2603,Pond,Permanent,Natural
,207763,Norhtern Harrier Pond,,,,,White River National Forest,Rio Blanco,CO,,,,39.9316,-107.62667,2567,Pond,Permanent,Natural
,207862,White River # 1,,,,,Buford,Rio Blanco,CO,,,,39.92953,-107.62827,2571,Pond,Permanent,Natural
,208019,Tear Drop Pond,,,,,White River National Forest,Rio Blanco,CO,,,,39.92548,-107.62329,2603,Pond,Permanent,
